anime_id,total_reviews,positive,neutral,negative,avg_score,avg_sentiment
2904,5,2,3,0,60.0,0.801
136430,5,3,1,1,96.0,0.773
130003,5,3,1,1,86.8,0.815
162314,5,1,2,2,87.8,0.607
820,5,3,2,0,96.4,0.839
2921,5,1,2,2,100.0,0.649
178788,5,2,3,0,72.0,0.789
101348,5,2,2,1,92.6,0.729
9969,2,1,1,0,84.0,0.639
185407,5,1,3,1,90.0,0.633
182896,5,4,1,0,93.8,0.726
4181,5,3,1,1,92.8,0.587
166216,5,2,2,1,88.2,0.644
21745,5,1,3,1,99.0,0.733
20996,5,3,2,0,95.4,0.741
154587,5,4,1,0,92.0,0.665
131586,5,1,2,2,66.4,0.691
128207,5,3,2,0,97.4,0.808
151384,5,2,2,1,92.0,0.673
9253,5,2,0,3,96.0,0.706
17074,5,2,2,1,97.6,0.739
116674,5,1,3,1,67.8,0.646
103047,5,2,1,2,70.0,0.729
114129,5,3,1,1,99.4,0.665
171627,5,3,2,0,98.8,0.69
125367,5,3,2,0,95.0,0.734
21698,2,2,0,0,87.5,0.922
19,5,2,3,0,97.6,0.816
140439,5,1,4,0,88.0,0.763
21400,5,0,1,4,81.0,0.613
104578,5,1,4,0,94.6,0.757
109731,5,3,1,1,98.0,0.785
11061,5,2,3,0,93.2,0.819
146984,5,2,3,0,91.4,0.809
101338,5,2,2,1,93.2,0.778
15417,5,2,2,1,90.6,0.737
161645,5,3,2,0,60.6,0.743
263,5,2,2,1,94.2,0.733
172420,4,4,0,0,89.5,0.894
20954,5,2,3,0,93.6,0.755
124194,5,3,1,1,88.0,0.857
98478,5,2,2,1,88.6,0.801
176301,5,1,1,3,62.0,0.598
5114,5,2,3,0,95.4,0.764
113024,5,1,3,1,96.6,0.668
110277,5,2,3,0,83.8,0.758
182469,2,1,0,1,98.5,0.849
15335,1,0,0,1,96.0,0.495
