anime_id,title,title_display,genre_primary,avg_score,release_year
131586,86: Eighty Six Part 2,86 EIGHTY-SIX Part 2,Action,87.0,2021
20954,Koe no Katachi,A Silent Voice,Drama,88.0,2016
110277,Shingeki no Kyojin: The Final Season,Attack on Titan Final Season,Action,87.0,2020
146984,Shingeki no Kyojin: The Final Season - Kanketsu-hen Zenpen,Attack on Titan Final Season THE FINAL CHAPTERS Special 1,Action,87.0,2023
162314,Shingeki no Kyojin: The Final Season - Kanketsu-hen Kouhen,Attack on Titan Final Season THE FINAL CHAPTERS Special 2,Action,87.0,2023
104578,Shingeki no Kyojin Season 3 Part 2,Attack on Titan Season 3 Part 2,Action,90.0,2019
116674,BLEACH: Sennen Kessen-hen,BLEACH: Thousand-Year Blood War,Action,88.0,2022
130003,Bocchi the Rock!,BOCCHI THE ROCK!,Comedy,87.0,2022
171627,Chainsaw Man: Reze-hen,Chainsaw Man – The Movie: Reze Arc,Action,90.0,2025
4181,CLANNAD: After Story,Clannad: After Story,Drama,87.0,2008
2904,Code Geass: Hangyaku no Lelouch R2,Code Geass: Lelouch of the Rebellion R2,Action,87.0,2008
178788,Kimetsu no Yaiba: Mugenjou-hen Movie 1 - Akaza Sairai,Demon Slayer: Kimetsu no Yaiba Infinity Castle,Action,87.0,2025
154587,Sousou no Frieren,Frieren: Beyond Journey’s End,Adventure,91.0,2023
124194,Fruits Basket: The Final,Fruits Basket The Final Season,Comedy,89.0,2021
5114,Hagane no Renkinjutsushi: FULLMETAL ALCHEMIST,Fullmetal Alchemist: Brotherhood,Action,90.0,2009
9969,Gintama',Gintama Season 2,Action,89.0,2011
15417,Gintama': Enchousen,Gintama Season 2 Part 2,Action,89.0,2012
20996,Gintama°,Gintama Season 3,Action,90.0,2015
97889,Gintama.,Gintama Season 4,Action,88.0,2017
101925,Gintama.: Shirogane no Tamashii-hen - Kouhan-sen,Gintama.: Silver Soul Arc - Second Half War,Action,87.0,2018
15335,Gintama: Kanketsu-hen - Yorozuya yo Eien Nare,Gintama: The Final Chapter - Be Forever Yorozuya,Action,87.0,2013
114129,Gintama: THE FINAL,Gintama: THE VERY FINAL,Action,91.0,2021
21698,Haikyuu!!: Karasuno Koukou VS Shiratorizawa Gakuen Koukou,HAIKYU!! 3rd Season,Comedy,87.0,2016
263,Hajime no Ippo: THE FIGHTING!,Hajime no Ippo: The Fighting!,Comedy,87.0,2000
11061,HUNTER×HUNTER (2011),Hunter x Hunter (2011),Action,89.0,2011
151384,Kaguya-sama wa Kokurasetai: First Kiss wa Owaranai,Kaguya-sama: Love is War -The First Kiss That Never Ends-,Comedy,87.0,2023
125367,Kaguya-sama wa Kokurasetai: Ultra Romantic,Kaguya-sama: Love is War -Ultra Romantic-,Comedy,89.0,2022
21400,Kizumonogatari III: Reiketsu-hen,Kizumonogatari Part 3: Reiketsu,Action,87.0,2017
820,Ginga Eiyuu Densetsu,Legend of the Galactic Heroes,Drama,88.0,1988
98478,3-gatsu no Lion 2nd Season,March comes in like a lion Season 2,Drama,89.0,2017
101338,Mob Psycho 100 II,Mob Psycho 100 II,Action,87.0,2019
140439,Mob Psycho 100 III,Mob Psycho 100 III,Action,87.0,2022
17074,Monogatari Series: Second Season,Monogatari Series Second Season,Comedy,88.0,2013
19,MONSTER,Monster,Drama,88.0,2004
182896,Boku no Hero Academia FINAL SEASON,My Hero Academia FINAL SEASON,Action,87.0,2025
182469,ONE PIECE FAN LETTER,ONE PIECE FAN LETTER,Action,90.0,2024
21745,Owarimonogatari (Ge),Owarimonogatari Second Season,Comedy,89.0,2017
113024,Shoujo☆Kageki Revue Starlight Movie,Revue Starlight: The Movie,Action,87.0,2021
109731,Hibike! Euphonium 3,Sound! Euphonium 3,Drama,87.0,2024
9253,Steins;Gate,Steins;Gate,Drama,89.0,2011
185407,Takopii no Genzai,Takopi's Original Sin,Drama,86.0,2025
161645,Kusuriya no Hitorigoto,The Apothecary Diaries,Drama,88.0,2023
176301,Kusuriya no Hitorigoto 2nd Season,The Apothecary Diaries Season 2,Drama,88.0,2025
166216,Boku no Kokoro no Yabai Yatsu 2nd Season,The Dangers in My Heart Season 2,Comedy,86.0,2024
128207,THE FIRST SLAM DUNK,THE FIRST SLAM DUNK,Sports,87.0,2022
2921,Ashita no Joe 2,Tomorrow's Joe 2,Action,88.0,1980
172420,Uma Musume: Pretty Derby - Shin Jidai no Tobira,Umamusume: Pretty Derby - Beginning of a New Era,Drama,87.0,2024
101348,VINLAND SAGA,Vinland Saga,Action,87.0,2019
136430,VINLAND SAGA SEASON 2,Vinland Saga Season 2,Action,88.0,2023
103047,Violet Evergarden Movie,Violet Evergarden: the Movie,Drama,87.0,2020
